state,race_ethnicity_ancestry,religion,sexual_orientation,disability,gender,gender_identity,lgbtqhatecrimes,percentagelgbtqcrimes,number_of_participating_agencies,population_covered,agencies_submitting_incident_reports,total_number_of_incidents_reported,agencyreportingpercentage,total_adult_population,lgbt_adult_population,lgbt_population_density,percent_of_lgbt_individuals_raising_children,percent_of_same_sex_couples_raising_children,sexual_orientation_protected,gender_identity_protected,sexual_orientation_protected_num,gender_identity_protected_num,hate_crime_mentions,news_stories_count,lgbtqcrimespercapita,lgbtqcrimesperlgbtqcapita
Alabama,8,1,0,0,0,0,0,0,334,2918324,3,9,0.008982035928143712,4887871,117739,0.031,0.35,0.204,N,N,0,0,449,59,0,0
Alaska,3,1,0,0,0,0,0,0,32,736205,3,4,0.09375,737438,20484,0.037000000000000005,0.26,0.231,N,N,0,0,47,11,0,0
Arizona,168,48,55,5,0,12,67,0.2326388888888889,87,6755795,20,264,0.22988505747126436,7171646,248805,0.045,0.27,0.165,Y,N,1,0,460,19,9.91741164437346e-6,2.6928719278149557e-4
Arkansas,5,0,1,1,0,0,1,0.14285714285714285,292,2836240,4,7,0.0136986301369863,3013825,76251,0.033,0.31,0.212,N,N,0,0,199,14,3.5257947141285644e-7,1.3114582103841261e-5
California,61,26,18,1,1,1,19,0.17592592592592593,730,39529144,232,1094,0.3178082191780822,39557045,1620056,0.053,0.3,0.16,Y,Y,1,1,6917,225,4.806580177906205e-7,1.1727989649740504e-5
Colorado,61,26,18,1,1,1,19,0.17592592592592593,221,5575629,43,106,0.19457013574660634,5695564,203795,0.046,0.31,0.159,Y,Y,1,1,616,28,3.407687276179961e-6,9.323094285924581e-5
Connecticut,66,23,22,0,0,1,23,0.20535714285714285,107,3588184,44,111,0.411214953271028,3572665,110661,0.039,0.2,0.17,Y,Y,1,1,818,7,6.409927696015589e-6,2.0784196781160481e-4
Delaware,14,8,6,0,0,1,7,0.2413793103448276,63,961939,11,29,0.1746031746031746,967171,34360,0.045,0.23,0.156,Y,Y,1,1,16,14,7.276968705915864e-6,2.0372526193247962e-4
District of Columbia,108,14,57,1,0,13,70,0.3626943005181347,2,693972,2,193,1,702455,56346,0.098,0.15,0.087,Y,Y,1,1,13254,174,1.0086862294155961e-4,0.001242324211124126
Florida,70,43,32,0,0,0,32,0.2206896551724138,654,20515334,67,145,0.10244648318042814,21299325,785231,0.046,0.26,0.133,Y,N,1,0,7036,229,1.5598088727193034e-6,4.075233912058999e-5
Georgia,19,5,4,0,0,0,4,0.14285714285714285,509,8948013,8,27,0.015717092337917484,10519475,360618,0.045,0.29,0.196,N,N,0,0,1033,85,4.470266192058505e-7,1.1092069724750289e-5
Hawaii,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,1420491,51386,0.046,0.41,0.158,Y,Y,1,1,84,7,NaN,0
Idaho,30,17,4,2,0,1,5,0.09259259259259259,106,1699259,21,53,0.19811320754716982,1754208,36603,0.027999999999999997,0.42,0.223,N,N,0,0,242,181,2.9424590365565225e-6,1.3660082506898342e-4
Illinois,39,27,14,1,0,1,15,0.18292682926829268,741,12270234,32,82,0.043184885290148446,12741080,425004,0.043,0.28,0.166,Y,Y,1,1,1728,54,1.2224705739108154e-6,3.52937854702544e-5
Indiana,32,13,9,1,0,0,9,0.16363636363636364,162,2287298,21,55,0.12962962962962962,6691878,230569,0.045,0.33,0.18899999999999997,N,N,0,0,683,31,3.934773693676994e-6,3.9033868386469995e-5
Iowa,9,1,1,0,0,0,1,0.09090909090909091,240,3104739,8,11,0.03333333333333333,3156145,87314,0.036000000000000004,0.28,0.18600000000000003,Y,N,1,0,242,98,3.2208826571251236e-7,1.1452917057974667e-5
Kansas,39,16,11,9,0,0,11,0.14666666666666667,364,2620785,38,75,0.1043956043956044,2911505,72783,0.033,0.41,0.218,Y,N,1,0,1167,27,4.197215719717566e-6,1.5113419342428864e-4
Kentucky,283,38,27,12,16,3,30,0.079155672823219,409,4444239,132,378,0.32273838630806845,4468402,117625,0.034,0.33,0.185,Y,N,1,0,378,15,6.7503120331737336e-6,2.5504782146652496e-4
Louisiana,14,11,1,0,0,0,1,0.038461538461538464,145,3764930,15,26,0.10344827586206896,4659978,138998,0.039,0.29,0.19899999999999998,Y,N,1,0,277,60,2.6560918795302967e-7,7.194348120116836e-6
Maine,17,9,4,0,0,2,6,0.1875,132,1335907,10,32,0.07575757575757576,1338404,53312,0.049,0.26,0.138,Y,N,1,0,89,18,4.491330609091801e-6,1.1254501800720288e-4
Maryland,24,12,6,0,0,6,12,0.25,154,6052177,18,48,0.11688311688311688,6042718,197508,0.042,0.26,0.203,Y,Y,1,1,433,39,1.9827576093693226e-6,6.075703262652652e-5
Massachusetts,232,118,65,9,8,9,74,0.16780045351473924,360,6703220,102,427,0.2833333333333333,6902149,298906,0.054000000000000006,0.26,0.171,Y,Y,1,1,1844,22,1.1039470582794537e-5,2.475694700006022e-4
Michigan,311,78,57,2,8,0,57,0.125,624,9928921,177,456,0.28365384615384615,9995915,313250,0.04,0.31,0.182,N,N,0,0,900,91,5.740805068345292e-6,1.8196328810853951e-4
Minnesota,92,34,22,0,0,0,22,0.14864864864864866,353,5508515,42,146,0.11898016997167139,5611179,176651,0.040999999999999995,0.2,0.165,Y,Y,1,1,429,11,3.993816845374842e-6,1.2453934594199863e-4
Mississippi,1,0,0,0,0,0,0,0,28,682046,1,1,0.03571428571428571,2986530,79814,0.035,0.44,0.257,N,N,0,0,195,232,0,0
Missouri,79,11,13,0,1,1,14,0.13333333333333333,610,6109596,32,105,0.05245901639344262,6126452,180486,0.038,0.3,0.17300000000000001,Y,Y,1,1,564,119,2.2914772106044327e-6,7.756834325100008e-5
Montana,9,4,2,0,0,0,2,0.13333333333333333,110,1050005,11,15,0.1,1062305,24153,0.028999999999999998,0.24,0.22,N,N,0,0,104,16,1.904752834510312e-6,8.280544859851778e-5
Nebraska,34,6,4,1,0,0,4,0.08888888888888889,238,1865845,9,45,0.037815126050420166,1929268,55192,0.038,0.33,0.196,Y,N,1,0,229,7,2.143800798029847e-6,7.247427163357009e-5
Nevada,2,0,3,0,0,0,3,0.6,51,2998039,3,5,0.058823529411764705,3034392,128997,0.055,0.39,0.17,Y,Y,1,1,343,8,1.0006540942262592e-6,2.3256354798948812e-5
New Hampshire,8,4,1,0,0,0,1,0.07692307692307693,177,1295556,13,13,0.07344632768361582,1356458,51620,0.047,0.16,0.165,Y,N,1,0,133,NA,7.718693750019297e-7,1.9372336303758232e-5
New Jersey,260,180,51,4,0,0,51,0.10303030303030303,518,9005644,155,495,0.29922779922779924,8908520,285150,0.040999999999999995,0.36,0.19699999999999998,Y,Y,1,1,444,30,5.663115264161009e-6,1.788532351394003e-4
New Mexico,4,2,1,0,0,0,1,0.14285714285714285,17,561375,1,7,0.058823529411764705,2095428,72597,0.045,0.28,0.17800000000000002,Y,Y,1,1,113,13,1.7813404586951682e-6,1.3774673884595782e-5
New York,189,284,64,1,0,14,78,0.14130434782608695,567,19685625,74,552,0.13051146384479717,19542209,789179,0.051,0.27,0.16399999999999998,Y,Y,1,1,8270,191,3.962282122106867e-6,9.883689251741367e-5
North Carolina,114,24,24,4,0,0,24,0.14457831325301204,527,10271767,44,166,0.08349146110056926,10383620,323319,0.04,0.26,0.185,N,N,0,0,1093,80,2.3365015970475187e-6,7.423009473615841e-5
North Dakota,8,5,2,0,0,0,2,0.13333333333333333,110,754604,8,15,0.07272727272727272,760077,15697,0.027000000000000003,0,0.21600000000000003,N,N,0,0,57,7,2.6503967643956302e-6,1.274128814423138e-4
Ohio,259,35,53,31,0,2,55,0.14473684210526316,572,9703884,137,380,0.2395104895104895,11689442,391133,0.043,0.28,0.177,N,N,0,0,958,31,5.667833622083693e-6,1.4061713023447267e-4
Oklahoma,17,7,10,0,1,2,12,0.32432432432432434,412,3916111,27,37,0.06553398058252427,3943079,113491,0.038,0.34,0.209,N,N,0,0,284,22,3.064264521613407e-6,1.0573525654016618e-4
Oregon,84,29,24,4,1,4,28,0.1917808219178082,214,3902529,29,146,0.13551401869158877,4190713,185760,0.055999999999999994,0.3,0.163,Y,Y,1,1,606,7,7.174834575220325e-6,1.5073212747631351e-4
Pennsylvania,52,17,6,0,0,3,9,0.11538461538461539,1488,12730580,23,78,0.015456989247311828,12807060,416484,0.040999999999999995,0.27,0.159,N,N,0,0,1193,58,7.06959148758344e-7,2.160947359322327e-5
Rhode Island,5,4,2,0,0,0,2,0.18181818181818182,49,1059639,4,11,0.08163265306122448,1057315,38345,0.045,0.31,0.155,Y,Y,1,1,83,3,1.887435249174483e-6,5.215803885773895e-5
South Carolina,63,11,12,1,0,0,12,0.13793103448275862,438,4996532,46,87,0.1050228310502283,5084127,139236,0.035,0.32,0.18899999999999997,N,N,0,0,618,8,2.4016657953956863e-6,8.618460742911317e-5
South Dakota,8,4,3,2,0,0,3,0.17647058823529413,116,799083,10,17,0.08620689655172414,882235,19939,0.03,0.31,0.21100000000000002,N,N,0,0,63,15,3.7543033702381356e-6,1.5045889964391393e-4
Tennessee,88,18,21,7,2,0,21,0.15441176470588236,466,6715984,57,136,0.1223175965665236,6770010,184233,0.035,0.26,0.18100000000000002,Y,N,1,0,380,16,3.1268686762803484e-6,1.1398609369656902e-4
Texas,117,22,43,3,1,6,49,0.2552083333333333,1009,28096894,75,190,0.07433102081268583,28701845,873454,0.040999999999999995,0.31,0.198,Y,N,1,0,3934,203,1.7439650090860577e-6,5.609911912934167e-5
Utah,51,15,8,0,0,4,12,0.15384615384615385,126,3056326,27,78,0.21428571428571427,3161108,82460,0.037000000000000005,0.26,0.201,Y,Y,1,1,362,15,3.926282732928359e-6,1.4552510308028134e-4
Vermont,18,6,8,3,0,0,8,0.22857142857142856,90,623657,17,34,0.18888888888888888,626299,26537,0.052000000000000005,0.24,0.18600000000000003,Y,Y,1,1,28,NA,1.2827563869242228e-5,3.01465877830953e-4
Virginia,109,42,35,7,0,0,35,0.18134715025906736,413,8467744,65,193,0.15738498789346247,8517685,259268,0.039,0.25,0.16,N,N,0,0,572,73,4.133332325587547e-6,1.3499544872487155e-4
Washington,323,88,79,1,6,16,95,0.18518518518518517,243,7396166,72,510,0.2962962962962963,7535591,305360,0.052000000000000005,0.29,0.158,Y,Y,1,1,1111,16,1.2844492673636584e-5,3.1110820015719154e-4
West Virginia,23,6,1,1,0,0,1,0.03225806451612903,245,1591058,20,31,0.08163265306122448,1805832,57667,0.04,0.29,0.17800000000000002,N,N,0,0,110,6,6.28512599792088e-7,1.7340940225779042e-5
Wisconsin,15,17,13,1,0,0,13,0.2826086956521739,437,5767235,24,46,0.05491990846681922,5813568,172424,0.038,0.18,0.16399999999999998,Y,N,1,0,757,19,2.2541131061938694e-6,7.539553658423422e-5
Wyoming,1,1,2,0,0,0,2,0.5,57,553149,3,4,0.05263157894736842,577737,14618,0.033,0,0.247,N,N,0,0,64,47,3.615662326064044e-6,1.3681762210972773e-4
